Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   Egz. 
Pavarde3052         Vardas3052          5      5      9      6      9      5      8      7      2      4      9      4      
Pavarde3053         Vardas3053          9      10     8      1      5      10     8      10     1      8      10     9      
Pavarde3054         Vardas3054          3      5      2      4      7      8      1      2      10     4      4      10     
Pavarde3055         Vardas3055          5      3      4      4      10     9      7      4      2      2      7      2      
Pavarde3056         Vardas3056          1      6      1      4      9      10     6      10     8      1      9      2      
Pavarde3057         Vardas3057          5      4      1      10     1      2      1      7      2      10     7      8      
Pavarde3058         Vardas3058          10     4      7      7      1      2      1      4      5      3      2      2      
Pavarde3059         Vardas3059          7      4      4      4      3      9      7      4      5      10     1      5      
Pavarde3060         Vardas3060          2      4      3      6      4      5      10     7      6      4      1      7      
Pavarde3061         Vardas3061          9      2      5      2      9      6      10     10     4      6      6      9      
Pavarde3062         Vardas3062          10     4      5      3      1      2      4      5      10     10     10     9      
Pavarde3063         Vardas3063          6      3      2      4      1      10     2      10     7      2      8      3      
Pavarde3064         Vardas3064          9      7      8      9      6      2      7      3      6      10     4      3      
Pavarde3065         Vardas3065          3      3      4      5      1      4      9      4      1      3      2      9      
Pavarde3066         Vardas3066          3      5      2      10     7      8      1      3      2      2      6      10     
Pavarde3067         Vardas3067          3      1      10     1      4      10     2      8      5      6      9      5      
Pavarde3068         Vardas3068          7      9      10     5      4      1      4      7      5      8      10     8      
Pavarde3069         Vardas3069          3      1      3      1      2      1      4      2      4      7      1      3      
Pavarde3070         Vardas3070          10     5      5      7      10     9      7      6      5      1      4      9      
Pavarde3071         Vardas3071          9      7      8      6      2      2      3      3      8      9      10     3      
Pavarde3072         Vardas3072          3      7      5      9      2      10     4      2      1      1      1      1      
Pavarde3073         Vardas3073          7      4      5      8      3      1      7      4      4      5      9      3      
Pavarde3074         Vardas3074          8      8      9      7      9      1      4      1      4      2      2      3      
Pavarde3075         Vardas3075          10     10     6      1      3      7      9      5      9      5      6      2      
Pavarde3076         Vardas3076          7      4      9      2      5      3      7      3      10     2      2      3      
Pavarde3077         Vardas3077          8      5      10     10     9      6      6      8      4      10     10     10     
Pavarde3078         Vardas3078          10     5      9      4      1      9      6      6      3      3      4      7      
Pavarde3079         Vardas3079          2      1      6      9      7      2      8      6      2      9      2      9      
Pavarde3080         Vardas3080          10     1      1      2      6      1      6      9      10     8      10     3      
Pavarde3081         Vardas3081          9      2      2      1      10     6      6      6      6      3      7      4      
Pavarde3082         Vardas3082          8      9      1      6      2      10     8      2      1      7      3      10     
Pavarde3083         Vardas3083          6      5      2      9      9      10     4      10     10     1      9      7      
Pavarde3084         Vardas3084          3      3      8      6      2      4      2      8      5      4      7      1      
Pavarde3085         Vardas3085          7      10     4      8      10     3      8      1      3      9      5      1      
Pavarde3086         Vardas3086          10     3      7      9      6      4      8      1      2      3      2      6      
Pavarde3087         Vardas3087          9      4      7      2      9      6      9      1      2      4      10     1      
Pavarde3088         Vardas3088          2      2      1      6      1      8      9      5      7      5      2      10     
Pavarde3089         Vardas3089          10     2      7      1      7      2      5      6      3      6      6      4      
Pavarde3090         Vardas3090          4      8      1      8      9      7      4      6      1      7      4      10     
Pavarde3091         Vardas3091          9      5      7      3      10     3      8      3      9      3      9      5      
Pavarde3092         Vardas3092          3      2      4      7      8      5      9      6      7      2      8      6      
Pavarde3093         Vardas3093          2      4      6      6      5      7      8      4      5      6      4      6      
Pavarde3094         Vardas3094          6      8      7      4      9      2      9      4      1      6      8      3      
Pavarde3095         Vardas3095          9      9      8      4      7      10     7      7      6      10     9      7      
Pavarde3096         Vardas3096          6      8      4      4      7      6      7      4      9      8      2      9      
Pavarde3097         Vardas3097          9      6      5      9      5      5      1      5      3      8      4      9      
Pavarde3098         Vardas3098          7      2      5      1      6      5      4      2      9      9      10     6      
Pavarde3099         Vardas3099          7      5      5      10     6      2      3      5      6      5      2      7      
Pavarde3100         Vardas3100          1      3      3      6      5      1      6      2      5      5      4      9      
Pavarde3101         Vardas3101          7      4      6      7      10     5      8      2      8      6      5      4      
Pavarde3102         Vardas3102          9      4      3      5      9      10     7      8      4      3      10     10     
Pavarde3103         Vardas3103          10     6      3      6      4      5      2      1      8      8      10     4      
Pavarde3104         Vardas3104          7      7      10     10     10     1      10     4      3      9      7      6      
Pavarde3105         Vardas3105          1      9      2      8      8      2      6      4      4      6      6      4      
Pavarde3106         Vardas3106          4      4      2      10     7      1      9      8      9      2      7      2      
Pavarde3107         Vardas3107          5      6      5      9      2      10     2      8      2      9      6      9      
Pavarde3108         Vardas3108          5      8      3      2      1      10     5      3      6      10     9      10     
Pavarde3109         Vardas3109          5      2      6      8      2      5      5      9      8      8      6      5      
Pavarde3110         Vardas3110          6      8      7      5      5      9      6      2      2      7      6      9      
Pavarde3111         Vardas3111          3      4      8      5      10     3      9      7      3      4      4      7      
Pavarde3112         Vardas3112          7      1      6      10     8      5      7      7      4      7      5      5      
Pavarde3113         Vardas3113          3      4      7      10     10     10     9      7      1      2      6      7      
Pavarde3114         Vardas3114          8      7      9      2      9      10     5      1      4      10     5      3      
Pavarde3115         Vardas3115          8      2      3      4      2      1      1      10     8      3      9      10     
Pavarde3116         Vardas3116          9      3      5      7      6      7      10     3      6      7      9      3      
Pavarde3117         Vardas3117          2      3      2      9      9      10     7      3      10     1      5      2      
Pavarde3118         Vardas3118          6      10     4      1      7      3      2      10     1      10     8      6      
Pavarde3119         Vardas3119          5      2      6      10     10     1      10     7      3      6      5      5      
Pavarde3120         Vardas3120          6      6      7      4      7      9      10     6      1      2      9      6      
Pavarde3121         Vardas3121          1      8      10     4      3      7      6      2      1      9      6      8      
Pavarde3122         Vardas3122          7      7      10     2      7      6      8      7      6      3      3      5      
Pavarde3123         Vardas3123          1      8      4      8      2      9      2      5      2      2      3      8      
Pavarde3124         Vardas3124          5      5      1      10     5      5      4      1      9      8      1      10     
Pavarde3125         Vardas3125          4      7      5      4      3      3      2      1      9      10     10     4      
Pavarde3126         Vardas3126          7      9      6      4      9      6      3      8      6      1      3      8      
Pavarde3127         Vardas3127          4      1      8      5      10     8      1      10     1      3      6      7      
Pavarde3128         Vardas3128          8      7      8      6      5      9      6      7      10     10     5      9      
Pavarde3129         Vardas3129          9      6      9      3      1      5      7      4      10     4      8      2      
Pavarde3130         Vardas3130          6      7      7      3      1      3      7      7      3      8      10     10     
Pavarde3131         Vardas3131          5      9      2      10     8      6      3      9      7      9      10     8      
Pavarde3132         Vardas3132          4      5      5      7      7      8      10     8      8      2      4      1      
Pavarde3133         Vardas3133          6      1      6      6      8      7      9      2      4      2      7      7      
Pavarde3134         Vardas3134          4      7      4      3      10     7      6      10     10     6      10     1      
Pavarde3135         Vardas3135          6      8      5      1      10     3      7      4      9      10     2      7      
Pavarde3136         Vardas3136          4      2      4      10     6      9      4      8      8      4      4      8      
Pavarde3137         Vardas3137          10     4      2      6      1      4      2      8      7      3      6      2      
Pavarde3138         Vardas3138          9      1      10     7      3      9      1      8      3      5      4      2      
Pavarde3139         Vardas3139          7      8      8      6      1      3      7      1      9      9      8      3      
Pavarde3140         Vardas3140          1      4      4      4      9      10     1      4      1      10     8      6      
Pavarde3141         Vardas3141          2      6      3      3      1      1      10     9      5      8      5      2      
Pavarde3142         Vardas3142          1      7      7      10     2      6      10     2      3      4      10     4      
Pavarde3143         Vardas3143          10     5      1      7      7      6      2      3      9      4      9      6      
Pavarde3144         Vardas3144          1      1      5      4      8      7      6      9      1      10     3      8      
Pavarde3145         Vardas3145          10     10     6      6      2      10     6      10     2      6      10     3      
Pavarde3146         Vardas3146          8      2      10     6      7      9      6      7      7      4      8      7      
Pavarde3147         Vardas3147          1      7      3      8      8      2      1      4      10     9      5      5      
Pavarde3148         Vardas3148          5      4      9      10     10     10     1      8      3      8      5      2      
Pavarde3149         Vardas3149          10     6      9      10     7      2      3      5      10     3      5      8      
Pavarde3150         Vardas3150          2      5      3      3      3      9      3      6      7      2      3      6      
Pavarde3151         Vardas3151          4      3      7      9      6      1      4      4      2      5      7      7      
Pavarde3152         Vardas3152          9      3      9      4      9      7      9      2      1      3      9      9      
Pavarde3153         Vardas3153          4      7      8      4      8      3      2      7      2      5      6      7      
Pavarde3154         Vardas3154          5      9      5      2      5      1      9      10     10     7      1      9      
Pavarde3155         Vardas3155          1      1      8      6      1      7      7      1      2      6      6      4      
Pavarde3156         Vardas3156          10     7      2      5      10     9      3      4      8      9      3      6      
Pavarde3157         Vardas3157          3      1      2      2      10     3      2      3      4      3      3      6      
Pavarde3158         Vardas3158          3      6      4      2      7      4      8      5      4      3      5      1      
Pavarde3159         Vardas3159          3      8      5      5      4      4      1      7      7      7      1      6      
Pavarde3160         Vardas3160          8      1      10     9      3      10     2      6      5      1      7      6      
Pavarde3161         Vardas3161          2      9      6      8      4      10     2      10     5      5      4      10     
Pavarde3162         Vardas3162          7      5      7      4      7      2      6      2      8      9      10     1      
Pavarde3163         Vardas3163          5      8      2      3      6      1      2      6      10     5      9      3      
Pavarde3164         Vardas3164          4      8      5      3      8      2      10     4      1      3      4      9      
Pavarde3165         Vardas3165          6      1      8      5      7      7      9      4      7      7      9      1      
Pavarde3166         Vardas3166          8      10     4      9      2      10     7      9      2      8      7      6      
Pavarde3167         Vardas3167          2      9      3      10     7      6      8      4      6      7      7      7      
Pavarde3168         Vardas3168          7      8      9      1      4      4      6      6      10     4      2      8      
Pavarde3169         Vardas3169          4      2      10     4      2      2      10     4      7      1      10     10     
Pavarde3170         Vardas3170          3      7      8      8      4      5      9      2      3      1      5      1      
Pavarde3171         Vardas3171          10     2      6      4      9      5      1      4      2      7      3      9      
Pavarde3172         Vardas3172          5      4      5      2      6      2      8      10     10     2      1      1      
Pavarde3173         Vardas3173          1      10     10     10     10     5      1      1      2      6      7      7      
Pavarde3174         Vardas3174          6      2      1      7      3      7      7      5      7      9      6      1      
Pavarde3175         Vardas3175          6      2      3      8      5      7      10     5      4      9      5      10     
Pavarde3176         Vardas3176          10     10     8      3      9      5      7      2      2      3      5      7      
Pavarde3177         Vardas3177          1      4      1      8      1      8      3      1      8      10     7      4      
Pavarde3178         Vardas3178          6      1      10     7      3      2      3      8      3      5      8      4      
Pavarde3179         Vardas3179          10     5      9      2      8      5      2      7      9      4      6      6      
Pavarde3180         Vardas3180          2      1      4      7      6      7      10     1      7      1      9      2      
Pavarde3181         Vardas3181          4      3      8      10     4      10     5      5      9      8      10     3      
Pavarde3182         Vardas3182          6      1      9      10     5      5      6      3      8      5      9      10     
Pavarde3183         Vardas3183          10     9      7      10     5      1      4      2      6      2      9      9      
Pavarde3184         Vardas3184          10     8      6      1      3      2      1      6      8      1      6      6      
Pavarde3185         Vardas3185          6      2      10     9      1      2      8      2      10     8      7      5      
Pavarde3186         Vardas3186          9      4      2      10     7      4      7      7      8      8      7      10     
Pavarde3187         Vardas3187          5      2      10     1      5      3      8      2      5      6      9      3      
Pavarde3188         Vardas3188          3      6      4      9      6      10     5      8      4      5      6      8      
Pavarde3189         Vardas3189          5      6      3      5      2      8      8      3      5      1      10     3      
Pavarde3190         Vardas3190          4      2      4      3      5      2      1      4      5      3      4      2      
Pavarde3191         Vardas3191          3      4      3      6      9      9      5      6      10     4      5      7      
Pavarde3192         Vardas3192          7      3      4      6      4      10     10     2      2      5      2      6      
Pavarde3193         Vardas3193          9      7      5      7      9      6      8      1      7      10     5      5      
Pavarde3194         Vardas3194          1      10     1      10     3      10     3      8      3      6      10     3      
Pavarde3195         Vardas3195          4      1      8      5      5      10     4      9      3      5      7      2      
Pavarde3196         Vardas3196          9      4      2      6      7      10     6      4      4      7      8      2      
Pavarde3197         Vardas3197          4      9      4      1      1      3      1      3      7      10     9      7      
Pavarde3198         Vardas3198          7      4      10     8      8      6      6      6      7      4      7      9      
Pavarde3199         Vardas3199          2      1      9      3      5      3      3      1      10     4      8      1      
Pavarde3200         Vardas3200          2      9      9      8      2      6      7      7      6      7      1      6      
Pavarde3201         Vardas3201          1      10     8      1      1      6      2      8      9      7      4      10     
Pavarde3202         Vardas3202          7      1      6      3      5      1      5      7      7      3      9      3      
Pavarde3203         Vardas3203          6      8      5      9      8      7      3      10     7      2      6      1      
Pavarde3204         Vardas3204          7      8      5      10     3      6      2      1      4      7      5      8      
Pavarde3205         Vardas3205          1      5      9      8      4      7      3      4      4      9      9      1      
Pavarde3206         Vardas3206          1      1      9      7      5      5      8      2      7      5      10     4      
Pavarde3207         Vardas3207          5      2      9      6      9      8      4      3      3      3      4      9      
Pavarde3208         Vardas3208          1      6      9      8      9      2      8      7      5      9      6      7      
Pavarde3209         Vardas3209          7      5      9      1      8      8      6      5      2      8      4      2      
Pavarde3210         Vardas3210          3      7      8      6      3      9      9      10     6      7      2      7      
Pavarde3211         Vardas3211          4      9      9      1      6      5      7      10     9      7      1      9      
Pavarde3212         Vardas3212          4      3      2      3      9      8      5      7      9      6      7      3      
Pavarde3213         Vardas3213          5      9      1      1      9      3      8      4      9      2      3      7      
Pavarde3214         Vardas3214          7      2      3      5      4      2      1      2      5      3      1      3      
Pavarde3215         Vardas3215          3      8      3      2      5      6      5      10     1      10     3      2      
Pavarde3216         Vardas3216          2      3      1      8      5      5      7      8      6      10     4      3      
Pavarde3217         Vardas3217          9      3      6      1      1      4      3      7      7      4      5      8      
Pavarde3218         Vardas3218          5      6      8      6      8      5      5      6      2      10     5      8      
Pavarde3219         Vardas3219          6      7      2      8      7      6      7      9      4      5      8      5      
Pavarde3220         Vardas3220          8      5      2      5      9      6      8      5      3      5      8      8      
Pavarde3221         Vardas3221          6      1      1      1      9      10     3      8      7      10     4      8      
Pavarde3222         Vardas3222          6      10     7      4      8      10     5      4      8      5      9      8      
Pavarde3223         Vardas3223          6      6      7      10     8      1      3      4      4      7      3      6      
Pavarde3224         Vardas3224          8      4      10     9      1      4      9      9      5      8      8      6      
Pavarde3225         Vardas3225          9      10     4      6      9      9      5      1      3      2      2      4      
Pavarde3226         Vardas3226          5      1      4      1      6      5      4      7      10     6      7      7      
Pavarde3227         Vardas3227          8      10     7      4      8      10     7      10     10     7      9      3      
Pavarde3228         Vardas3228          1      10     7      1      3      1      2      5      7      2      1      9      
Pavarde3229         Vardas3229          1      8      9      6      9      4      8      5      3      9      6      3      
Pavarde3230         Vardas3230          10     3      8      3      4      5      3      3      10     1      5      10     
Pavarde3231         Vardas3231          8      3      2      8      1      1      5      3      4      7      1      1      
Pavarde3232         Vardas3232          1      4      5      5      5      6      6      3      3      6      1      3      
Pavarde3233         Vardas3233          1      9      4      5      9      3      2      1      3      10     4      8      
Pavarde3234         Vardas3234          5      5      5      9      1      9      2      10     3      6      5      9      
Pavarde3235         Vardas3235          8      2      5      10     1      1      6      1      4      6      7      4      
Pavarde3236         Vardas3236          2      4      2      3      3      3      4      3      8      5      10     8      
Pavarde3237         Vardas3237          5      8      7      3      5      7      10     2      3      1      1      5      
Pavarde3238         Vardas3238          3      10     3      6      3      7      10     6      4      1      8      4      
Pavarde3239         Vardas3239          6      1      10     8      10     4      10     2      4      2      4      2      
Pavarde3240         Vardas3240          5      5      8      3      5      8      2      9      2      8      3      9      
Pavarde3241         Vardas3241          7      1      1      3      4      3      2      8      3      1      9      3      
Pavarde3242         Vardas3242          8      10     4      7      10     8      8      9      5      4      6      5      
Pavarde3243         Vardas3243          5      1      6      10     8      4      9      3      10     6      6      6      
Pavarde3244         Vardas3244          10     8      9      7      5      4      8      9      10     6      9      2      
Pavarde3245         Vardas3245          1      4      5      10     3      6      10     8      9      4      4      9      
Pavarde3246         Vardas3246          4      3      4      9      3      8      5      10     7      7      3      1      
Pavarde3247         Vardas3247          3      4      2      8      4      7      8      1      7      10     9      8      
Pavarde3248         Vardas3248          10     4      10     9      3      7      5      6      7      5      2      8      
Pavarde3249         Vardas3249          3      9      10     4      6      7      5      3      5      8      7      2      
Pavarde3250         Vardas3250          5      4      3      2      8      5      3      6      6      1      9      7      
Pavarde3251         Vardas3251          9      3      4      1      7      1      10     3      3      4      3      3      
Pavarde3252         Vardas3252          10     6      4      7      9      6      5      2      4      2      10     9      
Pavarde3253         Vardas3253          5      4      2      1      3      9      5      8      10     2      8      1      
Pavarde3254         Vardas3254          10     6      3      2      10     4      3      8      2      9      5      7      
Pavarde3255         Vardas3255          4      8      3      3      2      3      10     5      4      9      1      1      
Pavarde3256         Vardas3256          8      4      6      1      4      6      4      7      8      7      3      5      
Pavarde3257         Vardas3257          4      2      8      2      4      9      5      4      7      4      8      9      
Pavarde3258         Vardas3258          9      9      3      8      9      4      2      8      6      7      8      5      
Pavarde3259         Vardas3259          6      6      6      6      3      7      4      10     7      1      9      8      
Pavarde3260         Vardas3260          2      8      9      5      6      2      4      1      4      7      7      2      
Pavarde3261         Vardas3261          7      8      5      6      8      5      10     3      5      6      8      8      
Pavarde3262         Vardas3262          9      4      1      2      10     7      6      5      7      2      6      8      
Pavarde3263         Vardas3263          9      6      6      8      10     8      3      6      10     3      8      9      
Pavarde3264         Vardas3264          4      9      9      7      5      10     4      3      5      4      7      7      
Pavarde3265         Vardas3265          2      3      4      3      2      10     1      5      7      7      6      4      
Pavarde3266         Vardas3266          2      9      6      1      8      6      2      10     4      6      7      10     
Pavarde3267         Vardas3267          8      9      4      10     7      1      9      4      7      8      10     1      
Pavarde3268         Vardas3268          2      3      7      4      4      1      2      8      2      4      3      3      
Pavarde3269         Vardas3269          8      6      7      7      3      7      6      6      3      8      2      8      
Pavarde3270         Vardas3270          3      10     6      4      10     7      9      2      7      3      9      4      
Pavarde3271         Vardas3271          7      3      4      8      2      4      10     3      9      7      3      4      
Pavarde3272         Vardas3272          5      1      7      6      8      3      7      3      3      9      8      2      
Pavarde3273         Vardas3273          1      6      9      4      10     10     10     3      9      2      7      8      
Pavarde3274         Vardas3274          5      8      5      6      6      3      3      9      4      9      7      6      
Pavarde3275         Vardas3275          9      5      4      4      8      3      3      8      4      7      5      9      
Pavarde3276         Vardas3276          5      1      2      8      9      8      10     4      6      2      10     7      
Pavarde3277         Vardas3277          3      6      2      10     5      2      10     9      7      5      10     3      
Pavarde3278         Vardas3278          6      6      1      1      3      3      2      10     10     8      6      4      
Pavarde3279         Vardas3279          5      1      10     4      5      1      10     2      5      8      10     6      
Pavarde3280         Vardas3280          4      4      8      8      3      6      2      10     8      8      2      10     
Pavarde3281         Vardas3281          2      10     8      3      7      1      10     4      9      10     2      6      
Pavarde3282         Vardas3282          4      8      9      8      9      8      5      10     4      4      10     9      
Pavarde3283         Vardas3283          5      10     3      1      1      1      1      2      2      9      9      5      
Pavarde3284         Vardas3284          5      6      4      8      4      6      4      10     5      4      1      3      
Pavarde3285         Vardas3285          9      3      7      6      5      3      9      8      7      1      7      8      
Pavarde3286         Vardas3286          2      7      5      2      4      3      2      2      6      4      8      1      
Pavarde3287         Vardas3287          6      1      3      9      4      9      5      10     4      3      9      7      
Pavarde3288         Vardas3288          7      2      9      2      8      2      6      4      9      5      1      1      
Pavarde3289         Vardas3289          5      2      3      1      4      9      1      6      6      2      2      10     
Pavarde3290         Vardas3290          10     8      5      7      10     8      2      8      4      7      1      10     
Pavarde3291         Vardas3291          10     5      9      5      7      5      9      7      7      5      6      9      
Pavarde3292         Vardas3292          6      1      9      9      2      3      4      6      2      3      5      2      
Pavarde3293         Vardas3293          10     1      10     7      2      2      3      5      9      7      10     1      
Pavarde3294         Vardas3294          8      1      10     7      4      3      3      2      8      2      1      7      
Pavarde3295         Vardas3295          3      5      5      8      7      8      10     7      6      3      10     8      
Pavarde3296         Vardas3296          9      5      3      5      3      2      1      10     3      8      8      1      
Pavarde3297         Vardas3297          4      9      8      3      10     7      1      3      9      9      2      9      
Pavarde3298         Vardas3298          8      1      9      5      9      9      4      1      9      7      5      7      
Pavarde3299         Vardas3299          1      2      5      2      5      4      3      1      8      2      6      8      
Pavarde3300         Vardas3300          3      8      3      8      1      4      1      9      8      6      3      9      
Pavarde3301         Vardas3301          3      9      1      10     8      3      6      4      3      10     9      2      
Pavarde3302         Vardas3302          2      10     7      4      3      10     3      10     1      8      1      2      
Pavarde3303         Vardas3303          10     9      1      10     3      2      1      2      9      2      6      1      
Pavarde3304         Vardas3304          5      9      7      9      5      5      4      6      1      10     9      6      
Pavarde3305         Vardas3305          4      2      7      3      5      5      3      1      4      6      1      6      
Pavarde3306         Vardas3306          5      3      4      4      3      6      8      10     6      9      1      1      
Pavarde3307         Vardas3307          6      9      4      7      7      4      8      3      7      3      3      2      
Pavarde3308         Vardas3308          10     9      9      6      1      9      3      3      2      4      1      8      
Pavarde3309         Vardas3309          4      2      4      6      3      5      5      2      8      9      3      10     
Pavarde3310         Vardas3310          9      5      4      7      3      8      7      5      3      4      5      10     
Pavarde3311         Vardas3311          9      7      6      2      4      9      8      3      4      4      4      6      
Pavarde3312         Vardas3312          4      10     4      2      8      5      5      3      8      8      5      3      
Pavarde3313         Vardas3313          2      5      2      6      4      8      3      8      6      5      6      2      
Pavarde3314         Vardas3314          9      9      3      2      10     7      6      6      7      3      7      9      
Pavarde3315         Vardas3315          3      5      3      2      10     1      4      6      1      2      7      4      
Pavarde3316         Vardas3316          8      5      1      7      10     8      3      10     8      10     3      2      
Pavarde3317         Vardas3317          3      7      10     9      8      4      2      7      6      1      2      10     
Pavarde3318         Vardas3318          6      7      4      4      9      4      2      5      8      6      3      6      
Pavarde3319         Vardas3319          7      4      2      8      4      3      6      1      4      2      1      10     
Pavarde3320         Vardas3320          3      6      1      10     1      9      9      4      1      6      10     7      
Pavarde3321         Vardas3321          7      7      4      10     9      4      1      3      3      5      5      3      
Pavarde3322         Vardas3322          9      5      2      7      2      1      1      1      5      6      10     2      
Pavarde3323         Vardas3323          3      4      6      9      6      5      7      6      6      4      4      4      
Pavarde3324         Vardas3324          8      1      10     10     10     3      3      10     4      2      4      6      
Pavarde3325         Vardas3325          3      10     9      8      8      6      7      3      6      7      8      10     
Pavarde3326         Vardas3326          2      6      8      8      6      10     2      8      9      2      5      3      
Pavarde3327         Vardas3327          7      1      1      10     9      1      2      1      7      3      8      9      
Pavarde3328         Vardas3328          3      1      9      1      4      6      6      4      7      2      10     5      
Pavarde3329         Vardas3329          9      8      9      2      5      2      5      7      1      7      7      8      
Pavarde3330         Vardas3330          10     2      7      3      4      7      1      8      8      1      6      4      
Pavarde3331         Vardas3331          8      1      3      6      5      3      6      2      2      8      4      9      
Pavarde3332         Vardas3332          3      4      4      3      6      7      7      4      10     4      5      5      
Pavarde3333         Vardas3333          10     5      1      6      1      7      3      4      2      4      7      6      
Pavarde3334         Vardas3334          4      2      3      3      4      4      2      9      5      10     8      8      
Pavarde3335         Vardas3335          8      10     6      7      1      5      1      8      10     5      7      5      
Pavarde3336         Vardas3336          1      4      6      9      5      8      2      1      6      5      6      9      
Pavarde3337         Vardas3337          5      8      7      9      7      5      8      2      6      10     6      2      
Pavarde3338         Vardas3338          1      3      7      4      2      4      4      3      7      10     3      4      
Pavarde3339         Vardas3339          9      1      3      2      3      10     10     2      10     6      5      5      
Pavarde3340         Vardas3340          1      4      9      5      10     8      3      1      7      3      1      6      
Pavarde3341         Vardas3341          4      6      3      2      3      3      7      10     9      1      8      7      
Pavarde3342         Vardas3342          5      6      10     2      5      9      3      6      5      1      3      6      
Pavarde3343         Vardas3343          3      4      2      9      9      1      6      9      1      9      7      1      
Pavarde3344         Vardas3344          1      6      2      1      5      3      10     2      9      9      5      3      
Pavarde3345         Vardas3345          8      10     1      5      4      5      6      2      7      6      2      1      
Pavarde3346         Vardas3346          9      3      9      1      6      1      3      4      3      7      8      4      
Pavarde3347         Vardas3347          6      4      1      7      5      8      8      3      9      10     4      2      
Pavarde3348         Vardas3348          7      7      5      9      9      6      7      3      8      2      5      9      
Pavarde3349         Vardas3349          10     2      6      2      9      9      6      7      10     5      2      6      
Pavarde3350         Vardas3350          10     1      6      2      7      6      7      10     10     8      2      9      
Pavarde3351         Vardas3351          2      10     10     7      2      10     1      7      5      1      6      1      
Pavarde3352         Vardas3352          3      8      4      1      4      1      6      1      9      8      10     8      
Pavarde3353         Vardas3353          5      5      10     8      1      8      5      6      8      9      7      2      
Pavarde3354         Vardas3354          9      10     4      9      3      5      3      4      9      5      7      1      
Pavarde3355         Vardas3355          10     8      5      1      7      8      6      4      1      1      5      6      
Pavarde3356         Vardas3356          3      7      2      4      10     1      10     2      6      6      7      6      
Pavarde3357         Vardas3357          8      2      8      8      3      4      3      5      2      10     8      9      
Pavarde3358         Vardas3358          4      10     6      5      5      5      5      1      9      7      3      9      
Pavarde3359         Vardas3359          2      2      7      3      2      10     3      7      5      7      7      9      
Pavarde3360         Vardas3360          9      1      9      5      5      8      9      5      8      3      4      8      
Pavarde3361         Vardas3361          6      8      1      2      9      4      2      10     4      9      9      2      
Pavarde3362         Vardas3362          7      3      1      5      1      1      1      1      8      6      4      9      
Pavarde3363         Vardas3363          5      7      6      5      10     1      6      9      7      3      1      3      
Pavarde3364         Vardas3364          9      3      1      4      7      4      9      6      8      10     6      3      
Pavarde3365         Vardas3365          5      6      2      2      8      3      9      1      5      1      6      5      
Pavarde3366         Vardas3366          6      1      9      7      2      10     6      1      6      9      6      1      
Pavarde3367         Vardas3367          10     9      1      9      7      4      7      8      5      3      5      1      
Pavarde3368         Vardas3368          10     6      10     6      8      10     8      6      2      10     6      10     
Pavarde3369         Vardas3369          9      4      2      1      4      6      1      2      3      1      3      4      
Pavarde3370         Vardas3370          1      3      4      9      2      10     6      7      2      4      1      4      
Pavarde3371         Vardas3371          9      9      9      8      2      3      2      1      8      2      3      7      
Pavarde3372         Vardas3372          10     8      9      10     6      4      6      3      5      2      5      4      
Pavarde3373         Vardas3373          6      8      6      2      4      6      9      6      3      3      4      7      
Pavarde3374         Vardas3374          2      4      6      1      3      6      6      10     9      10     10     4      
Pavarde3375         Vardas3375          9      5      5      9      3      10     5      9      1      2      8      6      
Pavarde3376         Vardas3376          8      4      9      2      5      3      2      8      2      1      8      6      
Pavarde3377         Vardas3377          1      7      9      6      8      1      1      6      2      8      2      9      
Pavarde3378         Vardas3378          7      4      5      2      7      8      6      8      6      4      6      6      
Pavarde3379         Vardas3379          5      4      9      1      4      3      4      10     6      9      8      2      
Pavarde3380         Vardas3380          4      8      7      2      7      8      1      3      2      9      3      2      
Pavarde3381         Vardas3381          10     10     10     1      6      2      2      5      1      8      9      9      
Pavarde3382         Vardas3382          9      6      9      10     6      3      7      1      3      9      5      10     
Pavarde3383         Vardas3383          7      10     6      2      6      10     9      6      4      9      3      8      
Pavarde3384         Vardas3384          8      9      6      4      6      7      6      9      8      3      4      1      
Pavarde3385         Vardas3385          7      5      5      3      4      10     4      3      5      7      4      2      
Pavarde3386         Vardas3386          2      9      7      10     8      8      2      3      3      5      5      1      
Pavarde3387         Vardas3387          6      7      6      7      8      7      7      6      7      10     10     9      
Pavarde3388         Vardas3388          2      4      1      9      6      8      5      2      6      1      2      8      
Pavarde3389         Vardas3389          9      9      1      9      4      9      10     3      6      5      4      5      
Pavarde3390         Vardas3390          4      8      9      9      10     7      5      1      9      8      4      7      
Pavarde3391         Vardas3391          8      9      8      5      7      3      1      3      10     9      4      6      
Pavarde3392         Vardas3392          8      1      7      7      10     1      2      2      6      8      2      6      
Pavarde3393         Vardas3393          7      1      9      5      6      8      3      5      2      10     2      10     
Pavarde3394         Vardas3394          6      3      10     1      2      1      4      10     5      1      10     5      
Pavarde3395         Vardas3395          8      2      8      10     9      5      3      3      8      3      6      3      
Pavarde3396         Vardas3396          9      5      1      7      9      9      5      2      7      9      5      4      
Pavarde3397         Vardas3397          5      1      8      10     5      8      9      2      7      4      1      8      
Pavarde3398         Vardas3398          5      6      7      3      1      2      4      7      10     5      5      1      
Pavarde3399         Vardas3399          3      8      4      9      3      8      10     10     5      9      6      6      
