Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   Egz. 
Pavarde289          Vardas289           6      3      8      1      3      4      6      8      6      9      4      4      3      1      8      8      2      
Pavarde290          Vardas290           8      7      1      7      8      3      9      1      5      10     7      7      3      3      1      6      7      
Pavarde291          Vardas291           5      8      2      5      5      5      5      2      9      8      8      3      9      10     10     8      2      
Pavarde292          Vardas292           4      1      10     8      3      8      1      6      3      5      2      9      9      5      7      8      1      
Pavarde293          Vardas293           3      9      4      6      7      1      9      9      1      7      2      4      5      4      2      9      2      
Pavarde294          Vardas294           1      9      4      4      7      6      7      5      3      5      2      3      5      9      9      7      9      
Pavarde295          Vardas295           6      10     4      8      10     8      7      9      10     9      4      10     2      6      10     7      9      
Pavarde296          Vardas296           3      1      10     2      1      5      4      7      5      9      5      5      1      10     3      6      9      
Pavarde297          Vardas297           3      1      5      6      3      8      1      5      10     7      8      10     6      1      4      4      7      
Pavarde298          Vardas298           6      5      7      6      4      7      3      6      9      3      4      10     2      8      6      7      5      
Pavarde299          Vardas299           2      3      6      9      10     1      3      3      2      1      3      4      9      2      4      9      4      
Pavarde300          Vardas300           1      9      6      6      7      4      1      3      1      2      7      5      8      8      7      7      5      
Pavarde301          Vardas301           2      3      9      4      1      8      4      8      6      4      9      3      2      9      6      9      5      
Pavarde302          Vardas302           1      3      6      3      4      7      10     1      9      2      2      10     6      9      2      10     2      
Pavarde303          Vardas303           7      1      9      8      9      8      5      1      10     2      9      6      1      6      5      2      8      
Pavarde304          Vardas304           4      2      3      4      4      8      3      2      4      9      3      3      9      9      2      5      1      
Pavarde305          Vardas305           4      5      10     7      5      2      6      6      3      2      8      2      6      7      2      1      10     
Pavarde306          Vardas306           2      4      8      6      9      2      9      3      2      9      5      2      3      2      3      9      3      
Pavarde307          Vardas307           3      2      5      8      6      6      4      8      1      7      4      5      4      6      10     1      7      
Pavarde308          Vardas308           9      3      7      6      1      10     9      6      3      4      8      9      1      4      6      3      4      
Pavarde309          Vardas309           7      9      9      4      4      3      5      8      7      3      8      9      7      7      7      6      7      
Pavarde310          Vardas310           2      8      5      7      10     3      7      1      4      10     4      6      6      1      8      7      6      
Pavarde311          Vardas311           10     10     9      7      8      8      6      2      3      1      5      1      3      7      6      8      2      
Pavarde312          Vardas312           10     8      8      10     4      9      9      4      4      1      2      2      4      10     1      7      4      
Pavarde313          Vardas313           3      4      1      10     10     2      6      4      4      4      9      9      3      7      2      3      8      
Pavarde314          Vardas314           5      2      10     8      9      3      7      7      2      4      10     9      6      9      7      3      6      
Pavarde315          Vardas315           6      10     9      8      3      10     7      3      1      1      6      4      2      9      7      1      10     
Pavarde316          Vardas316           2      4      9      7      6      8      8      10     6      8      4      8      2      5      10     5      1      
Pavarde317          Vardas317           4      1      3      7      5      5      6      3      3      2      3      7      4      5      8      7      6      
Pavarde318          Vardas318           1      4      9      4      6      4      9      4      9      2      9      3      9      1      7      10     1      
Pavarde319          Vardas319           7      9      6      8      3      8      7      1      10     1      10     7      7      7      8      10     5      
Pavarde320          Vardas320           1      8      10     10     10     5      4      1      10     4      6      10     4      7      4      7      8      
Pavarde321          Vardas321           5      4      3      2      10     6      8      7      9      3      9      10     9      8      7      8      2      
Pavarde322          Vardas322           8      7      9      5      5      6      4      1      8      4      2      9      3      7      5      4      2      
Pavarde323          Vardas323           8      9      2      3      1      5      3      9      6      1      3      9      8      10     4      3      1      
Pavarde324          Vardas324           5      2      8      8      9      1      9      1      2      4      7      10     4      7      6      4      9      
Pavarde325          Vardas325           1      1      1      1      1      8      3      4      3      7      2      1      9      10     10     7      8      
Pavarde326          Vardas326           7      2      3      4      3      10     6      2      7      7      10     10     6      2      1      9      2      
Pavarde327          Vardas327           9      1      10     10     9      3      10     3      6      4      8      10     8      10     2      2      3      
Pavarde328          Vardas328           2      10     3      5      6      3      10     6      10     5      7      10     8      8      8      2      4      
Pavarde329          Vardas329           7      3      1      10     2      8      4      8      1      8      4      6      1      6      5      1      5      
Pavarde330          Vardas330           7      10     5      9      9      3      6      3      3      7      5      1      3      4      6      7      8      
Pavarde331          Vardas331           10     2      9      7      10     2      9      7      4      7      6      6      9      10     10     10     1      
Pavarde332          Vardas332           7      10     1      10     8      3      1      1      1      1      8      1      9      8      4      10     6      
Pavarde333          Vardas333           2      8      9      10     8      4      6      7      6      6      3      1      6      7      9      5      3      
Pavarde334          Vardas334           4      6      7      3      2      4      10     4      1      1      2      7      9      5      6      3      7      
Pavarde335          Vardas335           10     4      7      1      3      5      9      8      8      6      6      6      8      9      2      10     2      
Pavarde336          Vardas336           8      7      9      8      1      9      3      4      1      3      1      5      9      6      1      2      9      
Pavarde337          Vardas337           6      7      1      8      10     1      1      4      1      2      1      5      4      1      9      1      4      
Pavarde338          Vardas338           4      9      6      6      5      7      3      5      9      2      9      7      1      6      10     3      3      
Pavarde339          Vardas339           2      9      1      8      1      7      2      10     7      8      3      6      8      3      6      7      9      
Pavarde340          Vardas340           2      3      3      4      1      1      9      4      10     5      4      6      2      6      6      1      7      
Pavarde341          Vardas341           3      10     8      10     3      7      6      10     4      2      10     8      5      9      8      9      2      
Pavarde342          Vardas342           10     2      3      1      3      8      2      3      2      2      10     10     10     8      9      9      9      
Pavarde343          Vardas343           6      6      8      4      6      7      1      10     9      9      2      6      3      9      8      8      7      
Pavarde344          Vardas344           10     6      3      6      9      5      8      5      7      10     10     6      6      9      2      1      5      
Pavarde345          Vardas345           1      5      4      8      3      2      6      6      4      4      5      2      7      1      8      1      5      
Pavarde346          Vardas346           1      2      10     6      2      1      9      3      7      8      8      3      6      1      2      2      1      
Pavarde347          Vardas347           9      6      9      9      4      6      5      9      8      2      5      8      10     9      5      3      10     
Pavarde348          Vardas348           3      8      7      4      3      9      4      2      4      2      6      8      10     9      4      3      6      
Pavarde349          Vardas349           9      1      4      2      4      1      4      1      4      3      10     2      3      9      7      3      9      
Pavarde350          Vardas350           3      1      8      5      1      3      9      9      6      5      3      2      5      3      2      8      1      
Pavarde351          Vardas351           9      3      8      4      8      3      3      8      4      8      7      4      3      7      2      8      1      
Pavarde352          Vardas352           3      6      1      6      10     4      5      3      9      1      4      1      2      1      10     2      10     
Pavarde353          Vardas353           9      5      8      6      7      5      7      9      4      1      2      2      6      5      4      7      4      
Pavarde354          Vardas354           2      5      6      5      3      10     7      1      10     3      7      4      3      8      8      9      4      
Pavarde355          Vardas355           8      8      7      4      5      9      3      6      4      1      5      1      5      6      7      4      10     
Pavarde356          Vardas356           5      7      7      1      8      8      10     3      1      3      9      8      5      8      3      9      6      
Pavarde357          Vardas357           1      9      10     5      10     2      10     5      8      5      6      10     8      8      9      6      2      
Pavarde358          Vardas358           5      7      4      1      10     6      6      9      7      6      7      10     4      3      8      7      1      
Pavarde359          Vardas359           6      9      5      6      1      3      1      9      8      6      2      9      4      3      2      1      2      
Pavarde360          Vardas360           5      10     8      9      6      8      4      9      4      2      9      8      2      10     10     5      4      
Pavarde361          Vardas361           10     5      1      6      7      4      4      8      10     8      2      3      7      7      8      5      9      
Pavarde362          Vardas362           9      1      9      9      4      6      1      9      3      4      2      4      3      7      4      2      5      
Pavarde363          Vardas363           9      7      2      9      1      7      4      6      7      8      5      7      10     5      8      8      1      
Pavarde364          Vardas364           8      4      5      2      2      5      1      8      10     9      9      10     4      9      4      10     9      
Pavarde365          Vardas365           10     4      10     2      2      6      6      8      5      10     5      7      9      10     10     6      10     
Pavarde366          Vardas366           2      2      6      6      7      2      10     7      4      1      7      7      3      5      2      10     3      
Pavarde367          Vardas367           7      7      2      3      1      1      2      8      2      4      9      4      3      9      7      6      3      
Pavarde368          Vardas368           2      6      3      5      5      7      1      6      10     4      6      1      4      2      3      10     8      
Pavarde369          Vardas369           5      8      5      5      9      10     9      10     7      4      6      2      9      4      5      1      8      
Pavarde370          Vardas370           9      8      1      4      1      10     10     5      4      4      2      8      1      2      2      10     10     
Pavarde371          Vardas371           2      4      9      7      1      4      7      7      9      6      9      2      8      3      2      6      8      
Pavarde372          Vardas372           1      6      9      2      5      9      9      8      4      5      2      6      4      3      1      4      7      
Pavarde373          Vardas373           9      5      5      4      10     1      8      1      7      3      7      8      10     10     4      3      2      
Pavarde374          Vardas374           3      2      2      7      4      5      6      1      8      4      1      3      4      10     8      9      2      
Pavarde375          Vardas375           3      8      6      7      9      3      4      9      10     8      4      9      6      7      8      2      9      
Pavarde376          Vardas376           10     9      2      2      6      3      6      4      6      5      4      1      3      5      6      1      6      
Pavarde377          Vardas377           2      10     7      10     10     9      7      7      4      9      2      7      2      9      2      9      3      
Pavarde378          Vardas378           1      7      3      4      1      6      7      8      8      4      10     5      6      9      7      7      7      
Pavarde379          Vardas379           7      3      1      3      8      3      9      7      5      7      4      3      9      5      3      6      7      
Pavarde380          Vardas380           8      9      7      4      10     9      1      4      4      7      7      5      4      5      3      6      2      
Pavarde381          Vardas381           7      4      10     2      3      2      6      5      8      6      9      8      8      3      8      4      5      
Pavarde382          Vardas382           10     1      1      10     9      10     9      10     9      2      2      3      7      3      1      2      1      
Pavarde383          Vardas383           3      5      6      3      2      7      2      5      10     7      1      9      8      1      1      3      3      
Pavarde384          Vardas384           5      1      6      5      4      6      5      1      10     9      7      1      5      9      7      6      4      
Pavarde385          Vardas385           10     8      8      4      10     7      7      10     8      7      10     1      8      9      5      9      2      
Pavarde386          Vardas386           4      7      4      7      8      1      2      4      2      5      8      4      5      5      4      8      8      
Pavarde387          Vardas387           7      2      7      4      4      8      6      2      3      9      5      2      5      1      7      8      10     
Pavarde388          Vardas388           6      5      1      7      4      2      1      6      1      7      6      7      2      10     5      6      10     
Pavarde389          Vardas389           5      10     1      3      8      4      10     4      5      4      2      7      7      7      4      2      5      
Pavarde390          Vardas390           8      8      8      4      7      9      2      2      9      5      5      1      9      9      3      3      4      
Pavarde391          Vardas391           7      3      6      10     5      1      9      5      7      7      10     9      5      4      3      6      9      
Pavarde392          Vardas392           1      6      7      3      2      9      7      8      10     2      5      10     7      2      3      1      2      
Pavarde393          Vardas393           8      7      2      4      2      4      5      8      5      7      7      1      6      6      4      7      2      
Pavarde394          Vardas394           8      2      3      7      1      3      5      1      10     9      5      8      6      10     4      8      3      
Pavarde395          Vardas395           1      4      6      8      3      5      1      7      6      2      3      4      8      6      2      5      5      
Pavarde396          Vardas396           8      9      5      6      3      1      2      3      7      1      4      4      1      8      7      2      8      
Pavarde397          Vardas397           5      1      2      1      3      1      4      6      4      5      1      5      1      9      3      5      10     
Pavarde398          Vardas398           8      2      7      9      5      5      4      5      4      10     3      10     4      6      2      5      7      
Pavarde399          Vardas399           7      2      6      1      2      4      1      7      5      7      10     5      1      6      4      8      9      
Pavarde400          Vardas400           1      2      10     4      1      5      1      1      1      3      1      8      5      7      6      6      1      
Pavarde401          Vardas401           9      1      9      8      1      6      10     2      9      9      7      4      1      4      1      3      4      
Pavarde402          Vardas402           5      2      6      2      3      6      4      2      7      9      10     5      4      4      5      4      3      
Pavarde403          Vardas403           8      4      1      2      9      2      1      2      5      10     2      4      4      9      10     10     4      
Pavarde404          Vardas404           4      8      10     8      7      4      3      5      2      8      1      5      4      5      3      7      4      
Pavarde405          Vardas405           10     7      3      2      5      4      4      9      10     10     7      4      7      2      10     6      7      
Pavarde406          Vardas406           8      3      10     3      10     6      3      6      4      8      1      8      6      9      10     10     5      
Pavarde407          Vardas407           10     5      5      8      4      5      10     7      5      6      6      9      8      10     9      4      2      
Pavarde408          Vardas408           5      7      1      1      7      4      5      9      2      10     6      3      4      2      4      7      10     
Pavarde409          Vardas409           3      3      10     6      5      3      8      3      5      1      2      3      8      6      6      1      8      
Pavarde410          Vardas410           7      7      8      1      3      4      6      10     8      3      1      8      9      9      7      1      6      
Pavarde411          Vardas411           6      9      8      4      7      3      2      8      1      6      6      2      4      5      7      9      1      
Pavarde412          Vardas412           10     7      5      10     1      6      6      8      2      10     6      2      4      5      9      7      8      
Pavarde413          Vardas413           4      9      1      2      1      10     4      4      8      9      9      8      7      2      6      6      2      
Pavarde414          Vardas414           10     6      8      6      2      4      5      9      7      6      5      9      5      8      5      8      5      
Pavarde415          Vardas415           7      5      5      7      3      3      4      4      6      4      3      1      2      3      1      4      2      
Pavarde416          Vardas416           8      7      9      10     6      10     6      2      6      6      1      3      8      8      3      3      9      
Pavarde417          Vardas417           5      6      5      4      9      6      10     6      10     7      4      7      6      2      7      9      4      
Pavarde418          Vardas418           5      7      8      7      5      8      6      2      7      8      10     5      3      7      4      9      8      
Pavarde419          Vardas419           4      9      1      4      2      10     2      10     7      5      8      8      4      10     10     3      8      
Pavarde420          Vardas420           6      5      7      8      9      1      9      3      4      6      6      9      4      6      1      5      1      
Pavarde421          Vardas421           4      4      1      6      6      6      6      9      5      1      9      2      3      6      1      1      8      
Pavarde422          Vardas422           2      3      7      1      6      8      3      4      9      3      7      10     5      10     3      1      7      
Pavarde423          Vardas423           9      2      3      6      6      10     3      8      2      8      2      8      2      9      8      4      1      
Pavarde424          Vardas424           10     2      5      1      7      4      4      6      3      8      4      2      1      8      9      10     2      
Pavarde425          Vardas425           9      4      7      8      7      8      4      7      1      1      8      9      8      1      3      4      6      
Pavarde426          Vardas426           4      9      10     10     10     5      2      8      4      1      10     6      8      7      9      10     3      
Pavarde427          Vardas427           9      1      5      4      7      10     4      8      6      6      2      4      2      2      2      9      9      
Pavarde428          Vardas428           7      6      2      2      4      6      6      10     6      4      7      3      7      1      10     2      1      
Pavarde429          Vardas429           7      1      6      1      1      4      5      10     3      2      3      4      4      7      3      2      9      
Pavarde430          Vardas430           3      3      7      3      9      4      4      3      5      8      2      10     6      4      6      5      4      
Pavarde431          Vardas431           4      6      5      7      6      4      6      10     3      5      4      6      9      8      9      8      9      
Pavarde432          Vardas432           1      8      5      2      5      10     7      10     3      2      4      6      9      1      8      4      4      
Pavarde433          Vardas433           4      2      2      9      10     3      6      4      5      10     9      4      8      2      9      4      8      
Pavarde434          Vardas434           8      9      10     9      5      5      4      10     4      10     10     5      7      1      4      6      2      
Pavarde435          Vardas435           8      9      7      6      5      3      7      1      6      6      6      2      6      7      3      1      5      
Pavarde436          Vardas436           9      3      7      3      1      4      2      8      8      8      7      5      8      9      10     4      9      
Pavarde437          Vardas437           1      7      8      5      3      5      2      4      9      9      8      8      9      8      2      4      10     
Pavarde438          Vardas438           7      5      6      4      7      1      4      3      4      7      4      9      2      7      7      10     6      
Pavarde439          Vardas439           5      8      2      6      6      4      6      3      6      10     3      6      2      7      1      1      1      
Pavarde440          Vardas440           5      3      5      7      2      4      2      1      1      7      2      4      2      1      2      8      5      
Pavarde441          Vardas441           7      3      10     1      7      8      8      5      8      6      6      6      9      1      1      9      10     
Pavarde442          Vardas442           2      8      1      9      7      10     4      8      2      4      4      3      8      7      2      5      9      
Pavarde443          Vardas443           8      8      6      8      1      4      3      10     9      7      9      10     7      1      4      6      1      
Pavarde444          Vardas444           6      7      5      2      5      1      1      8      10     7      7      4      7      1      7      6      8      
Pavarde445          Vardas445           2      2      10     10     5      3      7      3      5      7      1      5      9      5      3      9      8      
Pavarde446          Vardas446           3      9      5      7      3      5      10     3      2      7      7      9      2      3      4      10     10     
Pavarde447          Vardas447           3      8      2      9      4      3      9      2      9      4      6      9      5      4      10     9      7      
Pavarde448          Vardas448           5      4      9      3      1      10     9      7      9      3      7      1      4      3      3      8      8      
Pavarde449          Vardas449           4      2      6      2      10     9      3      6      5      9      4      1      7      8      4      10     8      
Pavarde450          Vardas450           9      4      10     3      1      3      2      8      5      8      9      6      8      8      10     7      5      
Pavarde451          Vardas451           6      8      10     10     10     2      1      3      9      7      10     9      2      3      5      9      5      
Pavarde452          Vardas452           6      1      4      10     5      5      8      3      6      2      4      2      4      10     9      10     7      
Pavarde453          Vardas453           7      9      2      5      5      5      6      8      3      2      5      3      3      2      8      3      5      
Pavarde454          Vardas454           3      6      3      8      2      9      4      10     7      5      9      9      1      7      6      2      3      
Pavarde455          Vardas455           5      6      9      5      2      9      4      10     1      5      8      10     1      8      1      8      7      
Pavarde456          Vardas456           5      1      3      4      7      5      4      8      7      5      8      6      7      10     2      2      5      
Pavarde457          Vardas457           2      2      1      7      10     10     1      2      3      10     7      2      7      3      1      6      7      
Pavarde458          Vardas458           4      2      5      9      2      3      7      8      10     5      9      6      7      9      6      3      9      
Pavarde459          Vardas459           3      8      5      8      5      1      6      8      9      10     9      10     1      1      3      9      5      
Pavarde460          Vardas460           3      7      6      5      10     5      8      6      5      4      1      5      7      5      2      7      7      
Pavarde461          Vardas461           4      3      6      10     6      1      4      5      5      6      4      1      1      1      1      3      7      
Pavarde462          Vardas462           7      2      3      8      8      10     5      3      3      8      5      7      10     3      10     7      6      
Pavarde463          Vardas463           1      7      1      4      7      8      3      4      2      1      2      10     2      6      6      5      8      
Pavarde464          Vardas464           6      4      8      4      4      8      1      10     7      5      10     9      5      3      8      2      5      
Pavarde465          Vardas465           4      8      7      3      7      8      5      6      9      7      5      8      7      6      4      8      8      
Pavarde466          Vardas466           8      1      10     10     10     5      8      5      6      10     10     3      10     9      9      6      3      
Pavarde467          Vardas467           6      7      7      9      1      3      10     4      6      1      1      5      7      5      2      1      5      
Pavarde468          Vardas468           9      4      9      2      7      6      10     9      3      8      10     8      7      1      9      10     9      
Pavarde469          Vardas469           8      7      8      10     10     6      8      9      1      7      5      9      10     1      8      7      3      
Pavarde470          Vardas470           3      10     1      6      1      6      5      3      4      7      10     10     8      2      10     7      1      
Pavarde471          Vardas471           8      4      7      7      6      8      6      6      9      1      3      2      8      9      3      10     6      
Pavarde472          Vardas472           9      6      9      10     6      5      3      9      1      9      2      5      2      7      8      3      9      
Pavarde473          Vardas473           9      1      1      9      1      3      6      6      4      10     5      4      7      2      2      5      2      
Pavarde474          Vardas474           3      10     7      3      9      8      5      10     8      5      1      4      2      8      1      1      5      
Pavarde475          Vardas475           3      10     9      1      8      1      3      2      5      10     4      5      4      1      7      1      7      
Pavarde476          Vardas476           1      4      9      7      1      10     2      6      3      5      10     8      9      8      4      8      2      
Pavarde477          Vardas477           6      4      3      4      1      10     6      6      9      5      7      7      7      8      4      7      6      
Pavarde478          Vardas478           8      7      6      4      4      6      4      3      4      1      10     4      7      5      8      10     3      
Pavarde479          Vardas479           1      6      6      4      1      10     5      2      10     10     5      7      6      7      6      1      10     
Pavarde480          Vardas480           9      10     2      4      8      2      7      10     1      3      3      6      7      8      3      6      9      
Pavarde481          Vardas481           10     5      4      5      9      8      6      6      6      5      4      2      5      2      5      8      9      
Pavarde482          Vardas482           3      9      3      9      6      5      4      2      2      7      7      10     7      8      8      1      7      
Pavarde483          Vardas483           2      6      9      1      3      5      2      6      2      3      5      1      4      2      9      1      2      
Pavarde484          Vardas484           7      5      9      3      1      8      7      4      2      7      8      1      10     5      2      3      7      
Pavarde485          Vardas485           3      7      2      8      10     7      9      8      6      3      1      10     10     8      4      1      10     
Pavarde486          Vardas486           5      5      9      7      1      4      8      10     4      3      7      9      7      9      4      1      6      
Pavarde487          Vardas487           8      5      4      10     7      7      10     8      5      9      3      4      9      1      5      10     6      
Pavarde488          Vardas488           6      3      2      9      3      4      7      1      5      10     5      3      7      3      8      8      4      
Pavarde489          Vardas489           4      6      4      1      5      8      2      10     10     8      7      4      9      9      5      2      5      
Pavarde490          Vardas490           10     8      9      5      2      3      7      10     3      5      1      9      8      10     10     8      9      
Pavarde491          Vardas491           9      2      2      6      8      10     8      4      4      1      1      10     6      9      10     3      7      
Pavarde492          Vardas492           5      10     6      1      2      5      6      7      8      6      8      8      5      5      6      3      4      
Pavarde493          Vardas493           5      8      8      5      8      9      4      7      8      9      8      2      4      1      6      1      5      
Pavarde494          Vardas494           1      4      9      8      5      4      6      3      9      10     5      1      10     6      2      8      6      
Pavarde495          Vardas495           8      4      8      9      2      10     7      7      10     5      2      2      3      5      2      5      8      
Pavarde496          Vardas496           9      6      8      1      3      1      5      6      1      8      8      6      4      6      2      4      2      
Pavarde497          Vardas497           7      9      1      5      4      3      6      4      9      9      4      6      10     10     5      4      1      
Pavarde498          Vardas498           7      5      2      4      9      9      4      4      9      7      8      3      3      2      9      10     7      
Pavarde499          Vardas499           10     1      4      5      8      10     3      7      1      4      2      8      5      6      7      1      1      
Pavarde500          Vardas500           1      8      2      4      1      1      1      9      2      9      5      10     4      4      3      1      7      
Pavarde501          Vardas501           2      5      4      9      1      9      9      9      7      1      8      7      9      6      8      5      2      
Pavarde502          Vardas502           2      4      7      10     1      9      5      4      1      2      2      6      9      7      6      4      9      
Pavarde503          Vardas503           10     7      6      10     1      3      3      2      7      4      3      7      5      10     3      9      9      
Pavarde504          Vardas504           3      5      9      1      6      10     6      9      3      3      6      5      7      3      5      10     6      
Pavarde505          Vardas505           6      5      8      8      5      9      10     2      4      2      4      10     5      5      3      10     4      
Pavarde506          Vardas506           9      3      7      7      10     3      7      4      7      3      5      6      1      4      1      6      1      
Pavarde507          Vardas507           2      5      8      5      5      10     9      1      3      8      4      8      5      2      5      5      1      
Pavarde508          Vardas508           8      3      2      1      8      9      4      1      5      4      2      5      4      2      6      4      1      
Pavarde509          Vardas509           1      2      4      5      6      6      10     1      10     7      4      2      3      3      10     2      9      
Pavarde510          Vardas510           9      9      5      6      10     5      6      7      5      4      4      5      5      6      3      1      9      
Pavarde511          Vardas511           9      9      2      5      8      4      3      7      7      1      8      1      1      7      9      7      6      
Pavarde512          Vardas512           1      1      8      1      10     3      2      4      1      6      8      3      3      3      7      3      9      
Pavarde513          Vardas513           6      1      7      2      6      1      7      2      3      8      5      8      7      8      4      1      7      
Pavarde514          Vardas514           2      9      2      4      8      4      1      2      4      9      9      8      9      10     2      1      5      
Pavarde515          Vardas515           5      4      4      1      9      2      7      9      6      8      6      1      4      2      10     8      8      
Pavarde516          Vardas516           3      4      2      8      1      1      3      9      2      4      3      8      9      5      7      1      3      
Pavarde517          Vardas517           8      6      9      9      6      3      7      7      4      2      6      8      3      3      7      9      4      
Pavarde518          Vardas518           10     4      10     1      1      5      4      8      9      2      10     3      7      6      1      5      2      
Pavarde519          Vardas519           7      4      5      7      4      8      8      6      10     1      3      1      7      3      1      10     3      
Pavarde520          Vardas520           10     2      9      4      5      1      3      2      5      7      4      2      9      5      5      6      10     
Pavarde521          Vardas521           4      6      1      9      8      4      5      1      2      9      6      7      2      4      2      5      4      
Pavarde522          Vardas522           10     8      3      6      2      9      5      9      8      5      10     6      1      6      9      2      2      
Pavarde523          Vardas523           3      6      7      3      4      1      5      9      4      2      7      3      8      8      10     10     6      
Pavarde524          Vardas524           1      5      1      6      1      9      10     1      6      2      2      9      8      5      8      4      4      
Pavarde525          Vardas525           9      1      2      5      4      6      10     1      1      7      5      5      10     1      8      3      6      
Pavarde526          Vardas526           10     8      1      7      2      4      4      9      3      7      8      3      5      2      8      4      6      
Pavarde527          Vardas527           4      3      10     9      5      1      10     6      3      5      6      9      2      6      5      7      4      
Pavarde528          Vardas528           2      7      6      4      6      1      7      10     4      5      9      5      1      1      9      8      4      
Pavarde529          Vardas529           5      3      6      5      3      8      7      6      8      2      9      1      7      3      8      2      9      
Pavarde530          Vardas530           10     3      10     7      5      4      5      4      5      5      5      3      5      5      7      6      2      
Pavarde531          Vardas531           9      4      4      10     2      6      6      9      4      8      10     10     2      1      8      5      8      
Pavarde532          Vardas532           6      1      5      3      4      6      7      10     6      10     3      5      5      7      7      3      4      
Pavarde533          Vardas533           8      3      1      9      5      3      5      6      9      8      1      3      2      7      10     5      6      
Pavarde534          Vardas534           4      4      6      7      6      4      4      9      2      4      2      10     3      4      6      3      8      
Pavarde535          Vardas535           5      9      7      9      4      8      9      2      1      1      4      8      10     8      4      7      5      
Pavarde536          Vardas536           2      4      7      5      10     10     6      5      8      10     9      1      5      10     8      7      7      
Pavarde537          Vardas537           1      2      3      9      6      1      2      2      1      8      7      4      1      7      6      5      6      
Pavarde538          Vardas538           10     6      1      1      3      8      8      10     10     1      3      5      5      6      4      6      8      
Pavarde539          Vardas539           9      5      6      1      1      10     7      7      8      6      10     4      8      4      8      9      1      
Pavarde540          Vardas540           8      4      2      2      2      10     5      8      3      4      9      4      8      7      10     3      1      
Pavarde541          Vardas541           5      6      6      2      6      3      8      2      1      1      8      6      7      5      6      10     7      
Pavarde542          Vardas542           5      7      3      2      5      1      4      4      9      9      6      2      3      5      9      5      8      
Pavarde543          Vardas543           2      7      7      5      5      9      7      10     4      10     9      6      2      8      10     10     4      
Pavarde544          Vardas544           9      2      2      9      8      10     7      2      10     4      6      2      8      10     4      4      9      
Pavarde545          Vardas545           2      8      8      3      3      8      7      5      4      5      1      9      10     6      5      9      4      
Pavarde546          Vardas546           9      7      7      6      7      1      7      7      7      2      2      6      10     6      4      4      2      
Pavarde547          Vardas547           10     4      10     10     2      2      5      2      8      3      1      2      1      3      10     10     9      
Pavarde548          Vardas548           9      2      3      8      3      1      4      5      4      3      9      8      1      7      5      7      9      
Pavarde549          Vardas549           10     6      10     3      6      8      9      4      7      5      8      10     9      6      1      6      5      
Pavarde550          Vardas550           1      6      9      10     6      4      9      8      3      4      3      3      4      4      10     9      10     
Pavarde551          Vardas551           5      10     10     4      3      7      5      5      3      1      10     1      8      5      4      5      1      
Pavarde552          Vardas552           3      8      9      6      5      9      9      10     10     3      3      1      10     10     8      9      5      
Pavarde553          Vardas553           9      2      6      2      10     4      3      1      6      3      9      2      8      9      3      4      6      
Pavarde554          Vardas554           4      1      6      5      10     10     7      7      9      5      1      6      6      9      2      1      2      
Pavarde555          Vardas555           8      5      2      5      7      1      2      4      5      9      4      5      4      3      7      2      4      
Pavarde556          Vardas556           3      10     5      3      9      2      9      3      10     3      3      5      5      4      9      5      1      
Pavarde557          Vardas557           3      10     6      3      5      5      9      10     5      10     5      3      5      3      4      5      1      
Pavarde558          Vardas558           10     3      5      3      4      3      5      4      5      1      2      8      4      6      10     5      3      
Pavarde559          Vardas559           6      4      7      7      10     4      8      7      10     10     3      2      2      7      10     4      6      
Pavarde560          Vardas560           6      5      6      6      10     3      10     3      2      1      1      8      2      9      2      5      4      
Pavarde561          Vardas561           4      8      1      6      3      5      1      2      9      4      5      7      6      10     8      9      5      
Pavarde562          Vardas562           8      9      8      9      7      2      7      9      1      8      8      5      10     1      7      5      5      
Pavarde563          Vardas563           9      1      1      3      4      10     6      5      6      5      9      2      6      7      8      10     8      
Pavarde564          Vardas564           4      4      2      1      6      9      10     1      4      7      9      6      10     9      3      8      5      
Pavarde565          Vardas565           9      3      5      1      3      10     4      2      2      7      2      3      3      6      7      6      4      
Pavarde566          Vardas566           5      7      5      9      4      5      5      7      3      6      9      7      7      6      3      4      6      
Pavarde567          Vardas567           5      7      4      4      1      2      10     6      9      5      6      1      1      1      4      2      6      
Pavarde568          Vardas568           6      10     10     8      6      9      7      4      4      8      2      4      9      2      9      2      1      
Pavarde569          Vardas569           10     3      6      3      10     5      7      7      9      8      9      10     3      4      1      6      9      
Pavarde570          Vardas570           4      4      5      1      5      9      6      7      2      2      2      7      9      9      8      6      7      
Pavarde571          Vardas571           8      1      3      9      2      5      7      1      9      9      4      7      10     3      7      10     10     
Pavarde572          Vardas572           10     3      9      1      2      1      5      1      2      7      8      1      2      1      1      3      6      
Pavarde573          Vardas573           2      9      9      8      3      2      5      8      8      10     4      10     5      9      10     1      8      
Pavarde574          Vardas574           9      3      1      10     3      4      1      3      7      4      10     5      1      3      9      6      9      
Pavarde575          Vardas575           8      3      1      2      5      4      5      6      9      4      10     2      6      8      1      6      10     
Pavarde576          Vardas576           10     1      8      10     10     3      5      10     5      1      9      5      2      7      10     10     6      
Pavarde577          Vardas577           10     2      4      5      7      9      7      8      2      3      2      10     3      10     9      9      2      
